timestamp,batch,episode_len,augmented_samples,buffer_size,loss,entropy,kl,lr_multiplier,effective_lr,explained_var_old,explained_var_new,update_steps,win_ratio,eval_wins,eval_losses,eval_ties,best_win_ratio,opponent_type
15394.357,890,15,120,10000,2.6051337718963623,1.7168614864349365,0.026548937,0.0877914951989026,0.0001755829903978052,0.08527137793509487,0.10162986162269227,5,,,,,0.4,pure_mcts
15403.375,891,15,120,10000,2.6216492652893066,1.7665208578109741,0.025212683,0.0877914951989026,0.0001755829903978052,0.11123049759835346,0.1372091523611122,5,,,,,0.4,pure_mcts
15418.507,892,26,208,10000,2.660555839538574,1.7186272144317627,0.024860103,0.0877914951989026,0.0001755829903978052,0.028472411177997814,0.05508864191257601,5,,,,,0.4,pure_mcts
15428.657,893,18,144,10000,2.603823184967041,1.7445812225341797,0.01821787,0.0877914951989026,0.0001755829903978052,0.09712362788676787,0.11970558032091805,5,,,,,0.4,pure_mcts
15444.164,894,24,192,10000,2.6047792434692383,1.7498278617858887,0.022720292,0.0877914951989026,0.0001755829903978052,0.1256116251003051,0.14203081468268663,5,,,,,0.4,pure_mcts
15468.368,895,37,296,10000,2.586653232574463,1.693053126335144,0.017616922,0.0877914951989026,0.0001755829903978052,0.08499274398419987,0.1162681248644678,5,,,,,0.4,pure_mcts
15479.438,896,19,152,10000,2.6114931106567383,1.7937777042388916,0.02691235,0.0877914951989026,0.0001755829903978052,0.08647286111360708,0.1252759707541623,5,,,,,0.4,pure_mcts
15486.079,897,11,88,10000,2.5790772438049316,1.7388134002685547,0.016570264,0.0877914951989026,0.0001755829903978052,0.12144031905528996,0.141185412756195,5,,,,,0.4,pure_mcts
15498.929,898,23,184,10000,2.5174710750579834,1.6981308460235596,0.027386263,0.0877914951989026,0.0001755829903978052,0.15759425943756,0.17960706200573995,5,,,,,0.4,pure_mcts
15510.854,899,19,152,10000,2.5487122535705566,1.7260613441467285,0.028475901,0.0877914951989026,0.0001755829903978052,0.12048709313983674,0.15299122387980435,5,,,,,0.4,pure_mcts
15528.589,900,31,248,10000,2.5507702827453613,1.707005500793457,0.033175685,0.0877914951989026,0.0001755829903978052,0.14955509285549062,0.16876385380013037,5,0.2,2,8,0,0.4,pure_mcts
15736.569,901,25,200,10000,2.570478677749634,1.77825927734375,0.025992388,0.0877914951989026,0.0001755829903978052,0.1468392828266678,0.16684085317288377,5,,,,,0.4,pure_mcts
15744.115,902,13,104,10000,2.468357801437378,1.664156436920166,0.033835724,0.0877914951989026,0.0001755829903978052,0.16196738491957685,0.1938357050449684,5,,,,,0.4,pure_mcts
15766.203,903,39,312,10000,2.533280849456787,1.7309921979904175,0.043821353,0.0877914951989026,0.0001755829903978052,0.18329791055463462,0.19279928853562966,5,,,,,0.4,pure_mcts
15779.759,904,21,168,10000,2.5278420448303223,1.682100772857666,0.041673556,0.0877914951989026,0.0001755829903978052,0.14869423131515003,0.17815493311869013,5,,,,,0.4,pure_mcts
15795.579,905,27,216,10000,2.4946513175964355,1.755302906036377,0.038422048,0.0877914951989026,0.0001755829903978052,0.17632943984167104,0.20059063206625638,5,,,,,0.4,pure_mcts
15800.384,906,9,72,10000,2.533433198928833,1.697641372680664,0.035431504,0.0877914951989026,0.0001755829903978052,0.16511388308657315,0.18469921917472665,5,,,,,0.4,pure_mcts
15814.316,907,24,192,10000,2.506324529647827,1.7114890813827515,0.033945896,0.0877914951989026,0.0001755829903978052,0.19050255743032707,0.20973379012508486,5,,,,,0.4,pure_mcts
15821.342,908,13,104,10000,2.5141186714172363,1.7172348499298096,0.02685714,0.0877914951989026,0.0001755829903978052,0.20643610309638516,0.22608804711749864,5,,,,,0.4,pure_mcts
15829.743,909,16,128,10000,2.530792474746704,1.691145658493042,0.028689485,0.0877914951989026,0.0001755829903978052,0.14514399760062968,0.16205698301973237,5,,,,,0.4,pure_mcts
15840.684,910,19,152,10000,2.556051254272461,1.7432464361190796,0.023042034,0.0877914951989026,0.0001755829903978052,0.16332679487146295,0.18446103003924652,5,,,,,0.4,pure_mcts
15853.554,911,24,192,10000,2.542595624923706,1.7264755964279175,0.023045637,0.0877914951989026,0.0001755829903978052,0.1434914555093485,0.15919158946745027,5,,,,,0.4,pure_mcts
15862.471,912,17,136,10000,2.624741792678833,1.8142423629760742,0.021089751,0.0877914951989026,0.0001755829903978052,0.10183897507837258,0.1365628657631035,5,,,,,0.4,pure_mcts
15877.213,913,28,224,10000,2.6074869632720947,1.7420365810394287,0.025589563,0.0877914951989026,0.0001755829903978052,0.0989551905436179,0.11794828351936493,5,,,,,0.4,pure_mcts
15889.944,914,23,184,10000,2.5997743606567383,1.7165724039077759,0.031105023,0.0877914951989026,0.0001755829903978052,0.11442539841625365,0.13953315179940118,5,,,,,0.4,pure_mcts
15905.255,915,28,224,10000,2.617933750152588,1.7506171464920044,0.025414377,0.0877914951989026,0.0001755829903978052,0.08330083165732283,0.09769762643574365,5,,,,,0.4,pure_mcts
15923.49,916,31,248,10000,2.59727144241333,1.7563492059707642,0.019699259,0.0877914951989026,0.0001755829903978052,0.13104552099760647,0.15216738482078462,5,,,,,0.4,pure_mcts
15935.946,917,23,184,10000,2.472248077392578,1.6960639953613281,0.017832523,0.0877914951989026,0.0001755829903978052,0.1929629650096255,0.2117395668104498,5,,,,,0.4,pure_mcts
15951.059,918,27,216,10000,2.5319759845733643,1.7090485095977783,0.014751678,0.0877914951989026,0.0001755829903978052,0.1106766573320841,0.1274141602885619,5,,,,,0.4,pure_mcts
15969.419,919,35,280,10000,2.528712034225464,1.727203130722046,0.017604232,0.0877914951989026,0.0001755829903978052,0.15517230786697522,0.17128687375619134,5,,,,,0.4,pure_mcts
15989.904,920,38,304,10000,2.538031816482544,1.706312894821167,0.025500529,0.0877914951989026,0.0001755829903978052,0.16928549817737504,0.18636394179292293,5,,,,,0.4,pure_mcts
16007.567,921,32,256,10000,2.556255340576172,1.7096240520477295,0.02978511,0.0877914951989026,0.0001755829903978052,0.14218273661997016,0.15980877550983374,5,,,,,0.4,pure_mcts
16017.693,922,16,128,10000,2.6188437938690186,1.6957979202270508,0.04017643,0.0877914951989026,0.0001755829903978052,0.10428472388873167,0.12367202298830315,5,,,,,0.4,pure_mcts
